[08:34:15] [INFO] [MQTT] Conectado exitosamente con código: 0
[08:34:24] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:34:25] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:34:25] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:58:04] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:58:04] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:58:04] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:58:27] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:59:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:59:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[08:59:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:06:14] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:06:14] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:06:14] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:06:15] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:06:16] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:07:07] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:07:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:07:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:07:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:07:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:08:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:08:02] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:08:31] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:08:31] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:08:31] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:41] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:42] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:43] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:10:45] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:11:17] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:16:44] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:16:44] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:16:44] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:26:36] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:31:28] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:31:28] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:31:34] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:31:34] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:25] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:39] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:43] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:44] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:45] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:32:45] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:08] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:29] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:59] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:34:59] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:35:02] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:35:12] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:36:17] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:40:25] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:40:25] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:40:31] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:40:35] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:40:36] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:48:36] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:48:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:48:49] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:48:52] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:48:58] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:49:14] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:49:17] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:50:21] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:53:08] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:55:54] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:57:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:57:45] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:59:01] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:59:02] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[09:59:03] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:00:32] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:00:34] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:00:36] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:01:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:01:01] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:01:17] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:23:13] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:24:11] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:24:26] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:24:28] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:44:21] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:44:22] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[10:45:07] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[11:24:51] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[11:24:53] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[11:24:57] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[12:54:20] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[12:54:24] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[12:54:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:01:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:01:48] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:00] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:01] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:03] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:05] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:06] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:32] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:34] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:35] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:37] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:02:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:03:38] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:03:40] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
[13:03:41] [DEBUG] Archivo dispositivos.json cargado con 4 dispositivos.
